No.,구분명,유니크키,품목명[규격],비고,품목코드,단가,전월수량,현재수량,금액
665,모듈생산창고,PCB_SS3030/5000K/24V/40S/CI [301B EVO],PCB_SS3030/5000K/24V/40S/CI [301B EVO],,L_SS305024V40SCIEVO,"2,927.00",34,34,"99,518"
666,모듈생산창고,PCB_SS3030/5000K/24V/40S/CI [프로빔향 301B EVO],PCB_SS3030/5000K/24V/40S/CI [프로빔향 301B EVO],,L_SS305024V40SCIPEVO,"2,927.00",28,28,"81,956"
667,모듈생산창고,PCB_SS3030/5000K/24V/48S/BI [프로빔향],PCB_SS3030/5000K/24V/48S/BI [프로빔향],,L_SS305024V48SBI,"3,399.00",25,25,"84,975"
668,모듈생산창고,PCB_SS3030/5000K/33V/33S/CI,PCB_SS3030/5000K/33V/33S/CI,,L_SS305033V33SCI,"2,514.00",7,7,"17,598"
669,모듈생산창고,PCB_SS3030/5000K/33V/33S/CI [PCB : VER8.1],PCB_SS3030/5000K/33V/33S/CI [PCB : VER8.1],,L_SS305033V33SCI8.1,"2,514.00",41,41,"103,074"
670,모듈생산창고,PCB_SS3030/5000K/33V/44S/CI,PCB_SS3030/5000K/33V/44S/CI,,L_SS305033V44SCI,"3,163.00",67,67,"211,921"
671,모듈생산창고,PCB_SS3535/351B/3000K/30V/10S,PCB_SS3535/351B/3000K/30V/10S,,L_SS35351C3030V10S,"3,587.00",50,50,"179,350"
672,모듈생산창고,PCB_SS3535/351B/3000K/30V/12S,PCB_SS3535/351B/3000K/30V/12S,,L_SS35351B3030V12S,"4,191.00",4,4,"16,764"
673,모듈생산창고,PCB_SS3535/351B/4000K/30V/10S(N),PCB_SS3535/351B/4000K/30V/10S(N),,L_SS35351B4030V10S(N,"3,587.00",16,16,"57,392"
674,모듈생산창고,PCB_SS3535/351B/5000K/12V/12S(N),PCB_SS3535/351B/5000K/12V/12S(N),,L_SS35351B5012V12S(N,"4,191.00",5,5,"20,955"
675,모듈생산창고,PCB_SS3535/351B/5000K/30V/10S,PCB_SS3535/351B/5000K/30V/10S,,L_SS35351B5030V10S,"3,587.00",150,150,"538,050"
676,모듈생산창고,PCB_SS3535/351B/5000K/30V/12S(N),PCB_SS3535/351B/5000K/30V/12S(N),,L_SS35351B5030V12S(N,"4,191.00",57,57,"238,887"
677,모듈생산창고,PCB_SS3535/351B/5000K/36V/12S(N),PCB_SS3535/351B/5000K/36V/12S(N),,L_SS35351B5036V12S(N,"4,191.00",198,198,"829,818"
678,모듈생산창고,PCB_SS3535/351B/5700K/12V/12S,PCB_SS3535/351B/5700K/12V/12S,,L_SS35351B5712V12S,"4,191.00",200,200,"838,200"
679,모듈생산창고,PCB_SS3535/351B/5700K/24V/12S(N),PCB_SS3535/351B/5700K/24V/12S(N),,L_SS35351B5724V12S(N,"4,191.00",3,3,"12,573"
680,모듈생산창고,PCB_SS3535/351B/5700K/30V/12S(N),PCB_SS3535/351B/5700K/30V/12S(N),,L_SS35351B5730V12S(N,"4,191.00",2,2,"8,382"
681,모듈생산창고,PCB_SS3535/351B/5700K/36V/12S,PCB_SS3535/351B/5700K/36V/12S,,L_SS35351B5736V12S,"4,191.00",8,8,"33,528"
682,모듈생산창고,PCB_SS3535/351C/3000K/30V/10S,PCB_SS3535/351C/3000K/30V/10S,,L_SS35351C3030V10S,"3,587.00",18,18,"64,566"
683,모듈생산창고,PCB_SS3535/351C/5000K/30V/10S,PCB_SS3535/351C/5000K/30V/10S,,L_SS35351C5030V10S,"3,587.00",29,29,"104,023"
684,모듈생산창고,PCB_SS3535/351C/5700K/30V/10S,PCB_SS3535/351C/5700K/30V/10S,,L_SS35351C5730V10S,"3,587.00",20,20,"71,740"
685,모듈생산창고,PCB_SS3535/351C/5700K/30V/10S(N),PCB_SS3535/351C/5700K/30V/10S(N),,L_SS35351C5730V10S(N,"3,587.00",60,60,"215,220"
686,모듈생산창고,PCB_SS3535/351C/5700K/36V/12S,PCB_SS3535/351C/5700K/36V/12S,,L_SS35351C5736V12S,"4,191.00",36,36,"150,876"
687,모듈생산창고,PCB_SS5050/3000K/30V/10S/CI,PCB_SS5050/3000K/30V/10S/CI,,L_SS503030V10SCI,"2,987.00",79,79,"235,973"
688,모듈생산창고,PCB_SS5050/3000K/30V/12S/CI(N),PCB_SS5050/3000K/30V/12S/CI(N),,L_SS503030V12SCI(N),"3,471.00",7,7,"24,297"
689,모듈생산창고,PCB_SS5050/3500K/30V/10S/CI(N),PCB_SS5050/3500K/30V/10S/CI(N),,L_SS503530V10SCI(N),"2,987.00",10,10,"29,870"
690,모듈생산창고,PCB_SS5050/3500K/30V/12S/CI(N),PCB_SS5050/3500K/30V/12S/CI(N),,L_SS503530V12SCI(N),"3,471.00",8,8,"27,768"
691,모듈생산창고,PCB_SS5050/3500K/36V/12S/CI-502C,PCB_SS5050/3500K/36V/12S/CI-502C,,L_SS503536V12SCI502C,"3,471.00",4,4,"13,884"
692,모듈생산창고,PCB_SS5050/4000K/30V/10S/CI,PCB_SS5050/4000K/30V/10S/CI,,L_SS504030V10SCI,"2,987.00",9,9,"26,883"
693,모듈생산창고,PCB_SS5050/4000K/30V/10S/CI(N),PCB_SS5050/4000K/30V/10S/CI(N),,L_SS504030V10SCI(N),"2,987.00",5,5,"14,935"
694,모듈생산창고,PCB_SS5050/4000K/30V/12S/CI-502C,PCB_SS5050/4000K/30V/12S/CI-502C,,L_SS504030V12SCI502C,"3,471.00",46,46,"159,666"
695,모듈생산창고,PCB_SS5050/4000K/36V/12S/CI-502C,PCB_SS5050/4000K/36V/12S/CI-502C,,L_SS504036V12SCI502C,"3,471.00",21,21,"72,891"
696,모듈생산창고,PCB_SS5050/5000K/30V/10S/CI-502C,PCB_SS5050/5000K/30V/10S/CI-502C,,L_SS505030V10SCI502C,"2,987.00",67,67,"200,129"
697,모듈생산창고,PCB_SS5050/5000K/30V/12S/CI-502C,PCB_SS5050/5000K/30V/12S/CI-502C,,L_SS505030V12SCI502C,"3,471.00",114,114,"395,694"
698,모듈생산창고,PCB_SS5050/5000K/36V/12S/CI,PCB_SS5050/5000K/36V/12S/CI,,L_SS505036V12SCI,"3,471.00",34,34,"118,014"
699,모듈생산창고,PCB_SS5050/5000K/36V/12S/CI-502C,PCB_SS5050/5000K/36V/12S/CI-502C,,L_SS505036V12SCI502C,"3,471.00",2,2,"6,942"
700,모듈생산창고,PCB_SS5050/5700K/12V/12S/CI-502C,PCB_SS5050/5700K/12V/12S/CI-502C,,L_SS505712V12SCI502C,"3,471.00",11,11,"38,181"
701,모듈생산창고,PCB_SS5050/5700K/30V/10S/CI-502C,PCB_SS5050/5700K/30V/10S/CI-502C,,L_SS505730V12SCI502C,"2,987.00",0,0,0
702,모듈생산창고,PCB_SS5050/5700K/30V/12S/BI(N),PCB_SS5050/5700K/30V/12S/BI(N),,L_SS505730V12SBI(N),"3,471.00",8,8,"27,768"
703,모듈생산창고,PCB_SS5050/5700K/30V/12S/CI,PCB_SS5050/5700K/30V/12S/CI,,L_SS505730V12SCI,"3,471.00",62,62,"215,202"
704,모듈생산창고,PCB_SS5050/5700K/30V/12S/CI-502C,PCB_SS5050/5700K/30V/12S/CI-502C,,L_SS505730V12SCI502C,"3,471.00",37,37,"128,427"
705,모듈생산창고,PCB_SS5050/5700K/36V/12S/CI-502C [저효율],PCB_SS5050/5700K/36V/12S/CI-502C [저효율],,L_SS505736V12SCI2C저,"3,471.00",4,4,"13,884"
